code	is_in_layer	is_investigated	layer	module	params	submodule	trace_id	w_or_b	display_id	total	threshold
transformer.h.3.mlp.c_proj.weight	True	True	3	mlp	2359296	c_proj	transformer.h.3.mlp.c_proj	weight	3.mlp.c_proj	2360064	100
transformer.h.3.mlp.c_proj.bias	True	True	3	mlp	768	c_proj	transformer.h.3.mlp.c_proj	bias	3.mlp.c_proj	2360064	100
transformer.h.4.ln_1.weight	True	False	4	ln_1	768	ln_1	transformer.h.4.ln_1	weight	4.ln_1	1536	-1
transformer.h.4.ln_1.bias	True	False	4	ln_1	768	ln_1	transformer.h.4.ln_1	bias	4.ln_1	1536	-1
transformer.h.4.attn.c_attn.weight	True	True	4	attn	1769472	c_attn	transformer.h.4.attn.c_attn	weight	4.attn.c_attn	1771776	50
transformer.h.4.attn.c_attn.bias	True	True	4	attn	2304	c_attn	transformer.h.4.attn.c_attn	bias	4.attn.c_attn	1771776	50
transformer.h.4.attn.c_proj.weight	True	True	4	attn	589824	c_proj	transformer.h.4.attn.c_proj	weight	4.attn.c_proj	590592	100
transformer.h.4.attn.c_proj.bias	True	True	4	attn	768	c_proj	transformer.h.4.attn.c_proj	bias	4.attn.c_proj	590592	100
transformer.h.4.ln_2.weight	True	False	4	ln_2	768	ln_2	transformer.h.4.ln_2	weight	4.ln_2	1536	-1
transformer.h.4.ln_2.bias	True	False	4	ln_2	768	ln_2	transformer.h.4.ln_2	bias	4.ln_2	1536	-1
transformer.h.4.mlp.c_fc.weight	True	True	4	mlp	2359296	c_fc	transformer.h.4.mlp.c_fc	weight	4.mlp.c_fc	2362368	50
transformer.h.4.mlp.c_fc.bias	True	True	4	mlp	3072	c_fc	transformer.h.4.mlp.c_fc	bias	4.mlp.c_fc	2362368	50
transformer.h.4.mlp.c_proj.weight	True	True	4	mlp	2359296	c_proj	transformer.h.4.mlp.c_proj	weight	4.mlp.c_proj	2360064	100
transformer.h.4.mlp.c_proj.bias	True	True	4	mlp	768	c_proj	transformer.h.4.mlp.c_proj	bias	4.mlp.c_proj	2360064	100
transformer.h.5.ln_1.weight	True	False	5	ln_1	768	ln_1	transformer.h.5.ln_1	weight	5.ln_1	1536	-1
transformer.h.5.ln_1.bias	True	False	5	ln_1	768	ln_1	transformer.h.5.ln_1	bias	5.ln_1	1536	-1
transformer.h.5.attn.c_attn.weight	True	True	5	attn	1769472	c_attn	transformer.h.5.attn.c_attn	weight	5.attn.c_attn	1771776	75
transformer.h.5.attn.c_attn.bias	True	True	5	attn	2304	c_attn	transformer.h.5.attn.c_attn	bias	5.attn.c_attn	1771776	75
transformer.h.5.attn.c_proj.weight	True	True	5	attn	589824	c_proj	transformer.h.5.attn.c_proj	weight	5.attn.c_proj	590592	100
transformer.h.5.attn.c_proj.bias	True	True	5	attn	768	c_proj	transformer.h.5.attn.c_proj	bias	5.attn.c_proj	590592	100
transformer.h.5.ln_2.weight	True	False	5	ln_2	768	ln_2	transformer.h.5.ln_2	weight	5.ln_2	1536	-1
transformer.h.5.ln_2.bias	True	False	5	ln_2	768	ln_2	transformer.h.5.ln_2	bias	5.ln_2	1536	-1
transformer.h.5.mlp.c_fc.weight	True	True	5	mlp	2359296	c_fc	transformer.h.5.mlp.c_fc	weight	5.mlp.c_fc	2362368	50
transformer.h.5.mlp.c_fc.bias	True	True	5	mlp	3072	c_fc	transformer.h.5.mlp.c_fc	bias	5.mlp.c_fc	2362368	50
transformer.h.5.mlp.c_proj.weight	True	True	5	mlp	2359296	c_proj	transformer.h.5.mlp.c_proj	weight	5.mlp.c_proj	2360064	100
transformer.h.5.mlp.c_proj.bias	True	True	5	mlp	768	c_proj	transformer.h.5.mlp.c_proj	bias	5.mlp.c_proj	2360064	100
transformer.h.6.ln_1.weight	True	False	6	ln_1	768	ln_1	transformer.h.6.ln_1	weight	6.ln_1	1536	-1
transformer.h.6.ln_1.bias	True	False	6	ln_1	768	ln_1	transformer.h.6.ln_1	bias	6.ln_1	1536	-1
transformer.h.6.attn.c_attn.weight	True	True	6	attn	1769472	c_attn	transformer.h.6.attn.c_attn	weight	6.attn.c_attn	1771776	75
transformer.h.6.attn.c_attn.bias	True	True	6	attn	2304	c_attn	transformer.h.6.attn.c_attn	bias	6.attn.c_attn	1771776	75
transformer.h.6.attn.c_proj.weight	True	True	6	attn	589824	c_proj	transformer.h.6.attn.c_proj	weight	6.attn.c_proj	590592	75
transformer.h.6.attn.c_proj.bias	True	True	6	attn	768	c_proj	transformer.h.6.attn.c_proj	bias	6.attn.c_proj	590592	75
transformer.h.6.ln_2.weight	True	False	6	ln_2	768	ln_2	transformer.h.6.ln_2	weight	6.ln_2	1536	-1
transformer.h.6.ln_2.bias	True	False	6	ln_2	768	ln_2	transformer.h.6.ln_2	bias	6.ln_2	1536	-1
transformer.h.6.mlp.c_fc.weight	True	True	6	mlp	2359296	c_fc	transformer.h.6.mlp.c_fc	weight	6.mlp.c_fc	2362368	50
transformer.h.6.mlp.c_fc.bias	True	True	6	mlp	3072	c_fc	transformer.h.6.mlp.c_fc	bias	6.mlp.c_fc	2362368	50
transformer.h.6.mlp.c_proj.weight	True	True	6	mlp	2359296	c_proj	transformer.h.6.mlp.c_proj	weight	6.mlp.c_proj	2360064	100
transformer.h.6.mlp.c_proj.bias	True	True	6	mlp	768	c_proj	transformer.h.6.mlp.c_proj	bias	6.mlp.c_proj	2360064	100
transformer.h.7.ln_1.weight	True	False	7	ln_1	768	ln_1	transformer.h.7.ln_1	weight	7.ln_1	1536	-1
transformer.h.7.ln_1.bias	True	False	7	ln_1	768	ln_1	transformer.h.7.ln_1	bias	7.ln_1	1536	-1
transformer.h.7.attn.c_attn.weight	True	True	7	attn	1769472	c_attn	transformer.h.7.attn.c_attn	weight	7.attn.c_attn	1771776	50
transformer.h.7.attn.c_attn.bias	True	True	7	attn	2304	c_attn	transformer.h.7.attn.c_attn	bias	7.attn.c_attn	1771776	50
transformer.h.7.attn.c_proj.weight	True	True	7	attn	589824	c_proj	transformer.h.7.attn.c_proj	weight	7.attn.c_proj	590592	75
transformer.h.7.attn.c_proj.bias	True	True	7	attn	768	c_proj	transformer.h.7.attn.c_proj	bias	7.attn.c_proj	590592	75
transformer.h.7.ln_2.weight	True	False	7	ln_2	768	ln_2	transformer.h.7.ln_2	weight	7.ln_2	1536	-1
transformer.h.7.ln_2.bias	True	False	7	ln_2	768	ln_2	transformer.h.7.ln_2	bias	7.ln_2	1536	-1
transformer.h.7.mlp.c_fc.weight	True	True	7	mlp	2359296	c_fc	transformer.h.7.mlp.c_fc	weight	7.mlp.c_fc	2362368	25
transformer.h.7.mlp.c_fc.bias	True	True	7	mlp	3072	c_fc	transformer.h.7.mlp.c_fc	bias	7.mlp.c_fc	2362368	25
transformer.h.7.mlp.c_proj.weight	True	True	7	mlp	2359296	c_proj	transformer.h.7.mlp.c_proj	weight	7.mlp.c_proj	2360064	75
transformer.h.7.mlp.c_proj.bias	True	True	7	mlp	768	c_proj	transformer.h.7.mlp.c_proj	bias	7.mlp.c_proj	2360064	75
transformer.h.8.ln_1.weight	True	False	8	ln_1	768	ln_1	transformer.h.8.ln_1	weight	8.ln_1	1536	-1
transformer.h.8.ln_1.bias	True	False	8	ln_1	768	ln_1	transformer.h.8.ln_1	bias	8.ln_1	1536	-1
transformer.h.8.attn.c_attn.weight	True	True	8	attn	1769472	c_attn	transformer.h.8.attn.c_attn	weight	8.attn.c_attn	1771776	50
transformer.h.8.attn.c_attn.bias	True	True	8	attn	2304	c_attn	transformer.h.8.attn.c_attn	bias	8.attn.c_attn	1771776	50
transformer.h.8.attn.c_proj.weight	True	True	8	attn	589824	c_proj	transformer.h.8.attn.c_proj	weight	8.attn.c_proj	590592	50
transformer.h.8.attn.c_proj.bias	True	True	8	attn	768	c_proj	transformer.h.8.attn.c_proj	bias	8.attn.c_proj	590592	50
transformer.h.8.ln_2.weight	True	False	8	ln_2	768	ln_2	transformer.h.8.ln_2	weight	8.ln_2	1536	-1
transformer.h.8.ln_2.bias	True	False	8	ln_2	768	ln_2	transformer.h.8.ln_2	bias	8.ln_2	1536	-1
transformer.h.8.mlp.c_fc.weight	True	True	8	mlp	2359296	c_fc	transformer.h.8.mlp.c_fc	weight	8.mlp.c_fc	2362368	25
transformer.h.8.mlp.c_fc.bias	True	True	8	mlp	3072	c_fc	transformer.h.8.mlp.c_fc	bias	8.mlp.c_fc	2362368	25
transformer.h.8.mlp.c_proj.weight	True	True	8	mlp	2359296	c_proj	transformer.h.8.mlp.c_proj	weight	8.mlp.c_proj	2360064	50
transformer.h.8.mlp.c_proj.bias	True	True	8	mlp	768	c_proj	transformer.h.8.mlp.c_proj	bias	8.mlp.c_proj	2360064	50
transformer.h.9.ln_1.weight	True	False	9	ln_1	768	ln_1	transformer.h.9.ln_1	weight	9.ln_1	1536	-1
transformer.h.9.ln_1.bias	True	False	9	ln_1	768	ln_1	transformer.h.9.ln_1	bias	9.ln_1	1536	-1
transformer.h.9.attn.c_attn.weight	True	True	9	attn	1769472	c_attn	transformer.h.9.attn.c_attn	weight	9.attn.c_attn	1771776	50
transformer.h.9.attn.c_attn.bias	True	True	9	attn	2304	c_attn	transformer.h.9.attn.c_attn	bias	9.attn.c_attn	1771776	50
transformer.h.9.attn.c_proj.weight	True	True	9	attn	589824	c_proj	transformer.h.9.attn.c_proj	weight	9.attn.c_proj	590592	25
transformer.h.9.attn.c_proj.bias	True	True	9	attn	768	c_proj	transformer.h.9.attn.c_proj	bias	9.attn.c_proj	590592	25
transformer.h.9.ln_2.weight	True	False	9	ln_2	768	ln_2	transformer.h.9.ln_2	weight	9.ln_2	1536	-1
transformer.h.9.ln_2.bias	True	False	9	ln_2	768	ln_2	transformer.h.9.ln_2	bias	9.ln_2	1536	-1
transformer.h.9.mlp.c_fc.weight	True	True	9	mlp	2359296	c_fc	transformer.h.9.mlp.c_fc	weight	9.mlp.c_fc	2362368	25
transformer.h.9.mlp.c_fc.bias	True	True	9	mlp	3072	c_fc	transformer.h.9.mlp.c_fc	bias	9.mlp.c_fc	2362368	25
transformer.h.9.mlp.c_proj.weight	True	True	9	mlp	2359296	c_proj	transformer.h.9.mlp.c_proj	weight	9.mlp.c_proj	2360064	25
transformer.h.9.mlp.c_proj.bias	True	True	9	mlp	768	c_proj	transformer.h.9.mlp.c_proj	bias	9.mlp.c_proj	2360064	25
transformer.h.10.ln_1.weight	True	False	10	ln_1	768	ln_1	transformer.h.10.ln_1	weight	10.ln_1	1536	-1
transformer.h.10.ln_1.bias	True	False	10	ln_1	768	ln_1	transformer.h.10.ln_1	bias	10.ln_1	1536	-1
transformer.h.10.attn.c_attn.weight	True	True	10	attn	1769472	c_attn	transformer.h.10.attn.c_attn	weight	10.attn.c_attn	1771776	50
transformer.h.10.attn.c_attn.bias	True	True	10	attn	2304	c_attn	transformer.h.10.attn.c_attn	bias	10.attn.c_attn	1771776	50
transformer.h.10.attn.c_proj.weight	True	True	10	attn	589824	c_proj	transformer.h.10.attn.c_proj	weight	10.attn.c_proj	590592	25
transformer.h.10.attn.c_proj.bias	True	True	10	attn	768	c_proj	transformer.h.10.attn.c_proj	bias	10.attn.c_proj	590592	25
transformer.h.10.ln_2.weight	True	False	10	ln_2	768	ln_2	transformer.h.10.ln_2	weight	10.ln_2	1536	-1
transformer.h.10.ln_2.bias	True	False	10	ln_2	768	ln_2	transformer.h.10.ln_2	bias	10.ln_2	1536	-1
transformer.h.10.mlp.c_fc.weight	True	True	10	mlp	2359296	c_fc	transformer.h.10.mlp.c_fc	weight	10.mlp.c_fc	2362368	25
transformer.h.10.mlp.c_fc.bias	True	True	10	mlp	3072	c_fc	transformer.h.10.mlp.c_fc	bias	10.mlp.c_fc	2362368	25
transformer.h.10.mlp.c_proj.weight	True	True	10	mlp	2359296	c_proj	transformer.h.10.mlp.c_proj	weight	10.mlp.c_proj	2360064	25
transformer.h.10.mlp.c_proj.bias	True	True	10	mlp	768	c_proj	transformer.h.10.mlp.c_proj	bias	10.mlp.c_proj	2360064	25
transformer.h.11.ln_1.weight	True	False	11	ln_1	768	ln_1	transformer.h.11.ln_1	weight	11.ln_1	1536	-1
transformer.h.11.ln_1.bias	True	False	11	ln_1	768	ln_1	transformer.h.11.ln_1	bias	11.ln_1	1536	-1
transformer.h.11.attn.c_attn.weight	True	True	11	attn	1769472	c_attn	transformer.h.11.attn.c_attn	weight	11.attn.c_attn	1771776	50
transformer.h.11.attn.c_attn.bias	True	True	11	attn	2304	c_attn	transformer.h.11.attn.c_attn	bias	11.attn.c_attn	1771776	50
transformer.h.11.attn.c_proj.weight	True	True	11	attn	589824	c_proj	transformer.h.11.attn.c_proj	weight	11.attn.c_proj	590592	25
transformer.h.11.attn.c_proj.bias	True	True	11	attn	768	c_proj	transformer.h.11.attn.c_proj	bias	11.attn.c_proj	590592	25
transformer.h.11.ln_2.weight	True	False	11	ln_2	768	ln_2	transformer.h.11.ln_2	weight	11.ln_2	1536	-1
transformer.h.11.ln_2.bias	True	False	11	ln_2	768	ln_2	transformer.h.11.ln_2	bias	11.ln_2	1536	-1
transformer.h.11.mlp.c_fc.weight	True	True	11	mlp	2359296	c_fc	transformer.h.11.mlp.c_fc	weight	11.mlp.c_fc	2362368	25
transformer.h.11.mlp.c_fc.bias	True	True	11	mlp	3072	c_fc	transformer.h.11.mlp.c_fc	bias	11.mlp.c_fc	2362368	25
transformer.h.11.mlp.c_proj.weight	True	True	11	mlp	2359296	c_proj	transformer.h.11.mlp.c_proj	weight	11.mlp.c_proj	2360064	25
transformer.h.11.mlp.c_proj.bias	True	True	11	mlp	768	c_proj	transformer.h.11.mlp.c_proj	bias	11.mlp.c_proj	2360064	25
transformer.ln_f.weight	False	False	99	ln_f	768	ln_f	transformer.ln_f	weight	99.ln_f	1536	-1
transformer.ln_f.bias	False	False	99	ln_f	768	ln_f	transformer.ln_f	bias	99.ln_f	1536	-1
